"source_year";"value";"Sector";"Unit"
2018;98864.49951179;"Total";"MtCO2eq"
2021;296218.955723325;"Total";"MtCO2eq"
2018;1.118362;"Accessories";"MtCO2eq"
2018;4016.86037907;"Air transport";"MtCO2eq"
2018;18.89315364;"Apparel design";"MtCO2eq"
2018;289.09367319;"Bars, hotels & restaurants";"MtCO2eq"
2018;279.82111407;"Biotech & pharma";"MtCO2eq"
2018;4741.88091187;"Cement & concrete";"MtCO2eq"
2018;7475.90165794;"Chemicals";"MtCO2eq"
2018;93.626333;"Coal mining";"MtCO2eq"
2018;540.0963185;"Commercial & consumer services";"MtCO2eq"
2018;304.23577985;"Construction";"MtCO2eq"
2018;3321.45490016;"Convenience retail";"MtCO2eq"
2018;3.309621;"Crop farming";"MtCO2eq"
2018;222.31823145;"Discretionary retail";"MtCO2eq"
2018;1864.31321739;"Electrical & electronic equipment";"MtCO2eq"
2018;11709.12291942;"Energy utility networks";"MtCO2eq"
2018;43.69235138;"Entertainment facilities";"MtCO2eq"
2018;301.21354114;"Financial services";"MtCO2eq"
2018;12.44161908;"Fish & animal farming";"MtCO2eq"
2018;1275.28540695;"Food & beverage processing";"MtCO2eq"
2018;15.34224527;"Health care provision";"MtCO2eq"
2018;85.90381181;"Industrial support services";"MtCO2eq"
2018;635.74896828;"Intermodal transport & logistics";"MtCO2eq"
2018;27.676164;"IT & software development";"MtCO2eq"
2018;17.2792707;"Land & property ownership & development";"MtCO2eq"
2018;37.66909388;"Leisure & home manufacturing";"MtCO2eq"
2018;76.88269547;"Light manufacturing";"MtCO2eq"
2018;5.91656176;"Logging & rubber tapping";"MtCO2eq"
2018;1953.39049238;"Marine transport";"MtCO2eq"
2018;14514.51889757;"Media, telecommunications & data center services";"MtCO2eq"
2018;62.25310902;"Medical equipment & supplies";"MtCO2eq"
2018;253.78889636;"Metal products manufacturing";"MtCO2eq"
2018;7598.28009323;"Metal smelting, refining & forming";"MtCO2eq"
2018;1680.10437385;"Metallic mineral mining";"MtCO2eq"
2018;1376.91350372;"Non-energy utilities";"MtCO2eq"
2018;827.2900256;"Nuclear power generation";"MtCO2eq"
2018;834.05190487;"Oil & gas extraction & production";"MtCO2eq"
2018;5583.71833638;"Oil & gas processing";"MtCO2eq"
2018;711.59134688;"Oil & gas retailing";"MtCO2eq"
2018;266.25409975;"Oil & gas storage & transportation";"MtCO2eq"
2018;1877.10579586;"Other";"MtCO2eq"
2018;532.82363981;"Other materials";"MtCO2eq"
2018;200.08137232;"Other mineral mining";"MtCO2eq"
2018;50.82097379;"Other services";"MtCO2eq"
2018;1065.87155054;"Paper products & packaging";"MtCO2eq"
2018;211.24376658;"Plastic product manufacturing";"MtCO2eq"
2018;670.91959077;"Powered machinery";"MtCO2eq"
2018;41.21608994;"Print & publishing services";"MtCO2eq"
2018;278.581072;"Questionnaire sector";"MtCO2eq"
2018;696.211589;"Rail transport";"MtCO2eq"
2018;7.02182;"Renewable energy equipment";"MtCO2eq"
2018;670.96073781;"Renewable power generation";"MtCO2eq"
2018;9.83254882;"Road transport";"MtCO2eq"
2018;596.73434998;"Specialized professional services";"MtCO2eq"
2018;27.07192537;"Textiles & fabric goods";"MtCO2eq"
2018;16735.83081515;"Thermal power generation";"MtCO2eq"
2018;32.71850273;"Tobacco";"MtCO2eq"
2018;471.71593194;"Trading, wholesale, distribution, rental & leasing";"MtCO2eq"
2018;927.14042738;"Transportation equipment";"MtCO2eq"
2018;60.64137843;"Web & marketing services";"MtCO2eq"
2018;327.31042792;"Wood & paper materials";"MtCO2eq"
2018;293.39182377;"Wood & rubber products";"MtCO2eq"
2021;2699.253719557;"Air transport";"MtCO2eq"
2021;259.860953332;"Bars, hotels & restaurants";"MtCO2eq"
2021;297.085678737;"Biotech & pharma";"MtCO2eq"
2021;6145.461367711;"Cement & concrete";"MtCO2eq"
2021;10570.247030586;"Chemicals";"MtCO2eq"
2021;197.787809315;"Coal mining";"MtCO2eq"
2021;401.74135621;"Commercial & consumer services";"MtCO2eq"
2021;1358.974342319;"Construction";"MtCO2eq"
2021;959.190599883;"Convenience retail";"MtCO2eq"
2021;100.962896228;"Crop farming";"MtCO2eq"
2021;370.40607714;"Discretionary retail";"MtCO2eq"
2021;43604.123381852;"Electrical & electronic equipment";"MtCO2eq"
2021;8920.152466722;"Energy utility networks";"MtCO2eq"
2021;32.12476018;"Entertainment facilities";"MtCO2eq"
2021;661.57411768;"Financial services";"MtCO2eq"
2021;26.922829032;"Fish & animal farming";"MtCO2eq"
2021;1432.393970012;"Food & beverage processing";"MtCO2eq"
2021;0;"Government agencies";"MtCO2eq"
2021;14.328186445;"Health care provision";"MtCO2eq"
2021;524.636622245;"Industrial support services";"MtCO2eq"
2021;627.799226472;"Intermodal transport & logistics";"MtCO2eq"
2021;207.024952597;"IT & software development";"MtCO2eq"
2021;46.01650868;"Land & property ownership & development";"MtCO2eq"
2021;26.783879742;"Leisure & home manufacturing";"MtCO2eq"
2021;537.209779484;"Light manufacturing";"MtCO2eq"
2021;7.201328;"Logging & rubber tapping";"MtCO2eq"
2021;1772.761985236;"Marine transport";"MtCO2eq"
2021;2425.628252605;"Media, telecommunications & data center services";"MtCO2eq"
2021;102.105287646;"Medical equipment & supplies";"MtCO2eq"
2021;94997.582610821;"Metal products manufacturing";"MtCO2eq"
2021;9632.296682164;"Metal smelting, refining & forming";"MtCO2eq"
2021;1291.448365814;"Metallic mineral mining";"MtCO2eq"
2021;1150.603865486;"Non-energy utilities";"MtCO2eq"
2021;2277.639139;"Nuclear power generation";"MtCO2eq"
2021;1595.448515403;"Oil & gas extraction & production";"MtCO2eq"
2021;7806.839002673;"Oil & gas processing";"MtCO2eq"
2021;224.69030104;"Oil & gas retailing";"MtCO2eq"
2021;682.659143776;"Oil & gas storage & transportation";"MtCO2eq"
2021;6.474647;"Other";"MtCO2eq"
2021;3779.518211098;"Other materials";"MtCO2eq"
2021;52.08883289;"Other mineral mining";"MtCO2eq"
2021;62.709635463;"Other services";"MtCO2eq"
2021;880.077937149;"Paper products & packaging";"MtCO2eq"
2021;167.053388946;"Plastic product manufacturing";"MtCO2eq"
2021;4957.46962136;"Powered machinery";"MtCO2eq"
2021;36.069052228;"Print & publishing services";"MtCO2eq"
2021;237.40449;"Questionnaire sector";"MtCO2eq"
2021;656.619433626;"Rail transport";"MtCO2eq"
2021;21.394234662;"Renewable energy equipment";"MtCO2eq"
2021;2147.751693014;"Renewable power generation";"MtCO2eq"
2021;57232.746711105;"Road transport";"MtCO2eq"
2021;694.464156886;"Specialized professional services";"MtCO2eq"
2021;209.501089228;"Textiles & fabric goods";"MtCO2eq"
2021;18885.289665165;"Thermal power generation";"MtCO2eq"
2021;60.141911292;"Tobacco";"MtCO2eq"
2021;767.253753592;"Trading, wholesale, distribution, rental & leasing";"MtCO2eq"
2021;707.641401138;"Transportation equipment";"MtCO2eq"
2021;28.60266427;"Web & marketing services";"MtCO2eq"
2021;624.54562234;"Wood & paper materials";"MtCO2eq"
2021;15.170579048;"Wood & rubber products";"MtCO2eq"
