"account_id";"incorporation_country";"Target reference number";"Scope";"BY";"MRY";"TR";"TY";"source_year";"TYset";"BY_EM";"MRY_EM";"TYSet";"TargetActive";"Quantifiable";"Scope1_2";"Include";"TYset_EM";"TY_EM";"Timelapsed";"reduction_required";"reduction_achieved";"on_track";"target_year_group";"target_completed";"progress_rate";"maturity";"maturity_expired";"maturity_remaining";"annual_ambition_MRY";"annual_ambition_BY";"annual_ambition";"annual_progress";"annual_ambition_MRY_a";"annual_ambition_BY_a";"annual_ambition_a";"annual_progress_BY_a";"annual_progress_TYset_a";"annual_progress_a";"diff_required_achieved_a"
394;"Japan";"Abs 1";"Scope 1+2 (market-based) +3 (upstream & downstream)";2016;2018;30;2030;2018;NA;13730002;13730002;NA;TRUE;TRUE;TRUE;TRUE;NA;9611001.4;0.142857142857143;-588428.657142857;0;TRUE;"2";-30;0;14;2;12;2.92855303767777;2.51549870627173;2.92855303767777;0;2.5;2.14285714285714;2.5;0;NA;0;-0.785695894820629
449;"Turkey";"Abs 1";"Scope 1+2 (location-based)";2014;2017;20;2020;2018;NA;55372;4595876;NA;FALSE;TRUE;TRUE;FALSE;NA;44297.6;0.5;-5537.2;-4540504;FALSE;"0";-99.0361445783133;82000;6;3;3;78.7184152517881;3.65075160010039;78.7184152517881;-336.207067145484;33.0120481927711;3.33333333333333;33.0120481927711;-2733.33333333333;NA;-2733.33333333333;-75.3850819184548
454;"United States of America";"Abs 1";"Scope 1+2 (location-based) +3 (upstream)";2015;2017;5;2020;2018;NA;132493;132493;NA;TRUE;TRUE;TRUE;TRUE;NA;125868.35;0.4;-2649.86;0;TRUE;"0";-5;0;5;2;3;1.69524275084415;1.02062183130115;1.69524275084415;0;1.66666666666667;1;1.66666666666667;0;NA;0;-0.695242750844149
820;"United Kingdom of Great Britain and Northern Ireland";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";2017;2017;3;2022;2018;NA;300000;300000;NA;TRUE;TRUE;TRUE;TRUE;NA;291000;0;0;0;TRUE;"1";-3;NA;5;0;5;0.607332385179726;0.607332385179726;0.607332385179726;NA;0.6;0.6;0.6;NA;NA;NA;-0.00733238517972634
1104;"United Kingdom of Great Britain and Northern Ireland";"Abs 8";"Scope 1+2 (market-based) +3 (upstream & downstream)";2015;2017;0;2025;2018;NA;1777190;1777190;NA;TRUE;TRUE;TRUE;TRUE;NA;1777190;0.2;0;0;TRUE;"1";0;NA;10;2;8;0;0;0;0;0;0;0;0;NA;0;0
1268;"United Kingdom of Great Britain and Northern Ireland";"Abs 2";"Scope 1+2 (location-based) +3 (upstream)";2016;2017;5;2017;2018;NA;79410;23823;NA;FALSE;TRUE;TRUE;FALSE;NA;75439.5;1;-3970.5;55587;TRUE;"0";216.666666666667;-1400;1;1;0;NA;5;NA;70;-Inf;5;-Inf;70;NA;70;NA
1417;"Canada";"Abs 1";"Scope 1+2 (location-based) +3 (upstream)";2016;2017;15;2021;2018;NA;175268;97449.008;NA;TRUE;TRUE;TRUE;TRUE;NA;148977.8;0.2;-5258.04;77818.992;TRUE;"1";52.8776978417266;-1480;5;1;4;-11.1951982630571;3.19812149975186;-11.1951982630571;44.4;-13.2194244604317;3;-13.2194244604317;44.4;NA;44.4;14.1951982630571
1857;"United States of America";"Abs 1";"Scope 1+2 (market-based) +3 (upstream & downstream)";2013;2017;35;2030;2018;NA;379288;379288;NA;TRUE;TRUE;TRUE;TRUE;NA;246537.2;0.235294117647059;-31235.4823529412;0;TRUE;"2";-35;0;17;4;13;3.25941267018138;2.50218042179856;3.25941267018138;0;2.69230769230769;2.05882352941176;2.69230769230769;0;NA;0;-1.20058914076962
2096;"France";"Abs 1";"Scope 1";2016;2017;1;2018;2018;NA;2000000;222480000;NA;FALSE;TRUE;TRUE;FALSE;NA;1980000;0.5;-10000;-220480000;FALSE;"0";-99.1100323624595;2204800;2;1;1;99.1100323624595;0.501256289338003;99.1100323624595;-11024;99.1100323624595;0.5;99.1100323624595;-11024;NA;-11024;-98.6100323624595
2096;"France";"Abs 4";"Scope 1+2 (location-based)";2012;2017;20;2020;2018;NA;4299;262000000;NA;TRUE;TRUE;TRUE;TRUE;NA;3439.2;0.625;-537.375;-261995701;FALSE;"0";-99.9986873282443;48754724.5405909;8;5;3;97.6410501202407;2.75075275339269;97.6410501202407;-805.705008220575;33.3328957760814;2.5;33.3328957760814;-1218868.11351477;NA;-1218868.11351477;-95.1410501202407
2354;"United States of America";"Abs 1";"Scope 1+2 (market-based) +3 (upstream)";2012;2017;15;2023;2018;NA;162165;162165;NA;TRUE;TRUE;TRUE;TRUE;NA;137840.25;0.454545454545455;-11056.7045454545;0;TRUE;"1";-15;0;11;5;6;2.67229391453276;1.46658415028694;2.67229391453276;0;2.5;1.36363636363636;2.5;0;NA;0;-1.3086575508964
3010;"Brazil";"Abs 1";"Scope 1";2016;2017;1;2021;2018;NA;17534;2086264.8;NA;TRUE;TRUE;TRUE;TRUE;NA;17358.66;0.2;-35.068;-2068730.8;FALSE;"1";-99.1679550937158;5899198.12934869;5;1;4;69.7979312689912;0.200804833857415;69.7979312689912;-11798.3962586974;24.791988773429;0.2;24.791988773429;-11798.3962586974;NA;-11798.3962586974;-69.5979312689912
3010;"Brazil";"Abs 2";"Scope 2 (location-based)";2016;2017;1;2021;2018;NA;14801;1687260;NA;TRUE;TRUE;TRUE;TRUE;NA;14652.99;0.2;-29.602;-1672459;FALSE;"1";-99.1315511539419;5649817.57989324;5;1;4;69.4728640623541;0.200804833857415;69.4728640623541;-11299.6351597865;24.7828877884855;0.2;24.7828877884855;-11299.6351597865;NA;-11299.6351597865;-69.2728640623541
4050;"France";"Abs 1";"Scope 1+2 (location-based) +3 (upstream)";2016;2017;15;2020;2018;NA;158910;39727.5;NA;TRUE;TRUE;TRUE;TRUE;NA;135073.5;0.25;-5959.125;119182.5;TRUE;"0";240;-2000;4;1;3;-50.3694596204975;3.98154105958122;-50.3694596204975;75;-80;3.75;-80;75;NA;75;54.1194596204975
4667;"Germany";"Abs 1";"Scope 1+2 (location-based) +3 (upstream)";2008;2017;20;2020;2018;NA;1481000;1481000;NA;TRUE;TRUE;TRUE;TRUE;NA;1184800;0.75;-222150;0;TRUE;"0";-20;0;12;9;3;7.16822332774442;1.84234701262483;7.16822332774442;0;6.66666666666667;1.66666666666667;6.66666666666667;0;NA;0;-5.50155666107775
4667;"Germany";"Abs 2";"Scope 1+2 (location-based) +3 (upstream)";2008;2017;30;2020;2018;NA;368000;368000;NA;TRUE;TRUE;TRUE;TRUE;NA;257600;0.75;-82800;0;TRUE;"0";-30;0;12;9;3;11.2095998257399;2.92855303767776;11.2095998257399;0;10;2.5;10;0;NA;0;-8.70959982573994
4810;"Norway";"Abs 1";"Scope 1";2015;2017;46;2016;2018;NA;181192;17576109;NA;FALSE;TRUE;TRUE;FALSE;NA;97843.68;2;-166696.64;-17394917;FALSE;"0";-99.443314330834;10435.0735563716;1;2;0;NA;46;NA;-884.899369065789;-99.443314330834;46;-99.443314330834;-4800.13383593095;NA;-4800.13383593095;NA
4810;"Norway";"Abs 5";"Scope 1";2015;2017;6;2020;2018;NA;181192;17576109;NA;TRUE;TRUE;TRUE;TRUE;NA;170320.48;0.4;-4348.60800000001;-17394917;FALSE;"0";-99.0309545758962;400011.152994245;5;2;3;78.6802858055239;1.22988243158529;78.6802858055239;-884.899369065789;33.0103181919654;1.2;33.0103181919654;-4800.13383593095;NA;-4800.13383593095;-77.4802858055239
4810;"Norway";"Abs 6";"Scope 1";2015;2017;15;2020;2018;NA;181192;17576109;NA;TRUE;TRUE;TRUE;TRUE;NA;154013.2;0.4;-10871.52;-17394917;FALSE;"0";-99.1237355207572;160004.461197698;5;2;3;79.3836520315818;3.19812149975187;79.3836520315818;-884.899369065789;33.0412451735857;3;33.0412451735857;-4800.13383593095;NA;-4800.13383593095;-76.3836520315818
4810;"Norway";"Abs 6";"Scope 1";2015;2017;0;2020;2018;NA;181192;17576109;NA;TRUE;TRUE;TRUE;TRUE;NA;181192;0.4;0;-17394917;FALSE;"0";-98.9691006126555;-Inf;5;2;3;78.2359978313386;0;79.3836520315818;-884.899369065789;32.9897002042185;0;33.0412451735857;-4800.13383593095;NA;-4800.13383593095;-78.2359978313386
6414;"Canada";"Abs 1";"Scope 1+2 (location-based)";2015;2017;7.5;2018;2018;NA;23890;2427200;NA;TRUE;TRUE;TRUE;TRUE;NA;22098.25;0.666666666666667;-1194.5;-2403310;FALSE;"0";-99.0895579268293;201197.990791126;3;2;1;99.0895579268293;2.56524198126711;99.0895579268293;-907.963270142137;99.0895579268293;2.5;99.0895579268293;-5029.94976977815;NA;-5029.94976977815;-96.5895579268293
7808;"France";"Abs 1";"Scope 1 +2 (market-based)";2016;2017;2.5;2018;2018;NA;50542;2824960;NA;TRUE;TRUE;TRUE;TRUE;NA;49278.45;0.5;-631.775000000001;-2774418;FALSE;"0";-98.2556053891029;439146.531597482;2;1;1;98.2556053891029;1.25791170934251;98.2556053891029;-5489.33164496854;98.2556053891029;1.25;98.2556053891029;-5489.33164496854;NA;-5489.33164496854;-97.0056053891029
7903;"Sweden";"Abs 1";"Scope 1+2 (market-based) +3 (upstream & downstream)";2016;2017;100;2040;2018;NA;18297000;17931060;NA;TRUE;TRUE;TRUE;TRUE;NA;0;0.0416666666666667;-762375;365940;TRUE;"3";-100;-48;24;1;23;NA;NA;NA;2;NA;NA;NA;2;NA;2;NA
8566;"Japan";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";2000;2018;50;2050;2018;NA;180000000;180000000;NA;TRUE;TRUE;TRUE;TRUE;NA;90000000;0.36;-32400000;0;TRUE;"3";-50;0;50;18;32;2.14279379122999;1.37672955066408;2.14279379122999;0;1.5625;1;1.5625;0;NA;0;-1.14279379122999
8634;"Canada";"Abs 1";"Scope 1+2 (location-based)";2016;2017;1;2017;2018;NA;58065;5919240;NA;FALSE;TRUE;TRUE;FALSE;NA;57484.35;1;-580.650000000001;-5861175;FALSE;"0";-99.0288559004196;1009416.1715319;1;1;0;NA;1;NA;-10094.161715319;Inf;1;Inf;-10094.161715319;NA;-10094.161715319;NA
9988;"Japan";"Abs 1";"Scope 2 (location-based)";2016;2017;1;2017;2018;NA;499;49640;NA;FALSE;TRUE;TRUE;FALSE;NA;494.01;1;-4.99000000000001;-49141;FALSE;"0";-99.0048146655923;984789.579158315;1;1;0;NA;1;NA;-9847.89579158317;Inf;1;Inf;-9847.89579158317;NA;-9847.89579158317;NA
10389;"France";"Abs 1";"Scope 1+2 (market-based) +3 (upstream & downstream)";2016;2017;25;2030;2018;NA;9880648;7410486;NA;TRUE;TRUE;TRUE;TRUE;NA;7410486;0.0714285714285714;-176440.142857143;2470162;TRUE;"2";0;-1400;14;1;13;0;2.03390332422636;0;25;0;1.78571428571429;0;25;NA;25;1.78571428571429
10632;"Norway";"Abs 1";"Scope 1+2 (location-based)";2014;2017;5;2020;2018;NA;20898;2089700;NA;TRUE;TRUE;TRUE;TRUE;NA;19853.1;0.5;-522.450000000001;-2068802;FALSE;"0";-99.049954538929;395980.859412383;6;3;3;78.8205442506466;0.85124446108471;78.8205442506466;-364.151479681705;33.0166515129763;0.833333333333335;33.0166515129763;-3299.8404951032;NA;-3299.8404951032;-77.9872109173133
11049;"Sweden";"Abs 1";"Scope 1+2 (location-based) +3 (upstream)";2016;2017;0;2030;2018;NA;228795;228795;NA;TRUE;TRUE;TRUE;TRUE;NA;228795;0.0714285714285714;0;0;TRUE;"2";0;NA;14;1;13;0;0;0;0;0;0;0;0;NA;0;0
11049;"Sweden";"Abs 2";"Scope 1+2 (location-based) +3 (upstream)";2016;2017;0;2017;2018;NA;228795;228795;NA;FALSE;TRUE;TRUE;FALSE;NA;228795;1;0;0;TRUE;"0";0;NA;1;1;0;NA;0;NA;0;NA;0;NA;0;NA;0;NA
11382;"United States of America";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";2015;2017;27;2025;2018;NA;26200000;26200000;NA;TRUE;TRUE;TRUE;TRUE;NA;19126000;0.2;-1414800;0;TRUE;"1";-27;0;10;2;8;3.85751182448204;3.09810145774423;3.85751182448204;0;3.375;2.7;3.375;0;NA;0;-1.15751182448204
11382;"United States of America";"Abs 2";"Scope 1+2 (location-based) +3 (upstream & downstream)";2015;2017;67;2050;2018;NA;26200000;26200000;NA;TRUE;TRUE;TRUE;TRUE;NA;8646000;0.0571428571428571;-1003085.71428571;0;TRUE;"3";-67;0;35;2;33;3.30377640723871;3.1179643596032;3.30377640723871;0;2.03030303030303;1.91428571428571;2.03030303030303;0;NA;0;-1.389490692953
12128;"Taiwan, Greater China";"Abs 4";"Scope 1+2 (location-based)";2015;2017;10;2020;2018;NA;4134900;4134900;NA;TRUE;TRUE;TRUE;TRUE;NA;3721410;0.4;-165396;0;TRUE;"0";-10;0;5;2;3;3.45106153943703;2.08516376390232;3.45106153943703;0;3.33333333333333;2;3.33333333333333;0;NA;0;-1.45106153943703
13097;"France";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";2016;2017;5;2022;2018;NA;407973;352896.645;NA;TRUE;TRUE;TRUE;TRUE;NA;387574.35;0.166666666666667;-3399.775;55076.355;TRUE;"1";9.8265895953757;-1620;6;1;5;-1.89233142621716;0.85124446108471;-1.89233142621716;13.5;-1.96531791907514;0.833333333333334;-1.96531791907514;13.5;NA;13.5;2.7256647595505
13279;"United States of America";"Abs 1";"Scope 2 (market-based)";2015;2017;50;2025;2018;NA;228681;22868100;NA;TRUE;TRUE;TRUE;TRUE;NA;114340.5;0.2;-22868.1;-22639419;FALSE;"1";-99.5;99000;10;2;8;48.4330731139377;6.69670084631926;48.4330731139377;-900;12.4375;5;12.4375;-4950;NA;-4950;-43.4330731139377
